"Years","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"People in food-insecure households","36147000","31015000","33231000","33642000","34902000","36255000","38196000","35128000","35515000","36229000","49108000","50162000","48832000","50120000","48966000","49078000","48135000","42238000","41204000","40044000","37227000","35207000"
"    By severity",,,,,,,,,,,,,,,,,,,,,,
"        Low food security (People)","26290000","23237000","24708000","24628000","25517000","26622000","27535000","24349000","24395000","24287000","31824000","32499000","32777000","33232000","31787000","31974000","30922000","27605000","26556000","27159000","24577000","23362000"
"        Very low food security (People)","9857000","7779000","8523000","9014000","9385000","9633000","10661000","10779000","11120000","11942000","17284000","17663000","16055000","16888000","17179000","17104000","17213000","14633000","14648000","12885000","12650000","11845000"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Department of Agriculture","Household Food Security Report",,"https://www.ers.usda.gov/publications/pub-details/?pubid=94848",,"2018","Yearly"
"Exported on: 12/21/2020"
