,Total Cases
5610,2.0
5661,2.0
5712,0.0
5763,4.0
5814,0.0
5865,0.0
5916,9.0
5967,3.0
6018,0.0
6069,2.0
6120,0.0
6171,2.0
6222,4.0
6273,0.0
6324,1.0
6375,2.0
6426,1.0
6477,13.0
6528,5.0
6579,4.0
6630,26.0
6681,7.0
6732,20.0
6783,18.0
6834,8.0
6885,11.0
6936,12.0
6987,8.0
7038,19.0
7089,10.0
7140,20.0
7191,17.0
7242,15.0
7293,27.0
7344,9.0
7395,3.0
7446,12.0
7497,20.0
7548,12.0
7599,13.0
7650,21.0
7701,11.0
7752,6.0
7803,0.0
7854,0.0
7905,25.0
7956,42.0
8007,0.0
8058,41.0
8109,24.0
8160,32.0
8211,35.0
8262,0.0
8313,77.0
8364,44.0
8415,27.0
8466,28.0
8517,15.0
8568,38.0
8619,43.0
8670,50.0
8721,59.0
8772,79.0
8823,53.0
8874,70.0
8925,43.0
8976,52.0
9027,42.0
9078,101.0
9129,97.0
9180,74.0
9231,92.0
9282,88.0
9333,63.0
9384,56.0
9435,90.0
9486,186.0
9537,97.0
9588,108.0
9639,66.0
9690,83.0
9741,0.0
9792,257.0
9843,144.0
9894,58.0
9945,55.0
9996,54.0
10047,36.0
10098,49.0
10149,79.0
10200,98.0
10251,65.0
10302,46.0
10353,60.0
10404,81.0
10455,109.0
10506,84.0
10557,103.0
10608,50.0
10659,62.0
10710,67.0
10761,81.0
10812,69.0
10863,89.0
10914,64.0
10965,68.0
11016,33.0
11067,51.0
11118,78.0
11169,115.0
11220,94.0
11271,45.0
11322,37.0
11373,34.0
11424,69.0
11475,102.0
11526,120.0
11577,93.0
11628,86.0
11679,33.0
11730,34.0
11781,63.0
11832,124.0
11883,92.0
11934,104.0
11985,62.0
12036,74.0
12087,42.0
12138,50.0
12189,105.0
12240,109.0
12291,85.0
12342,92.0
12393,70.0
12444,44.0
12495,53.0
12546,128.0
12597,122.0
12648,112.0
12699,114.0
12750,114.0
12801,127.0
12852,104.0
12903,124.0
12954,124.0
13005,144.0
13056,188.0
13107,208.0
13158,139.0
13209,129.0
13260,127.0
13311,177.0
13362,248.0
13413,256.0
13464,191.0
13515,150.0
13566,143.0
13617,152.0
13668,226.0
13719,210.0
13770,220.0
13821,202.0
13872,210.0
13923,211.0
13974,233.0
14025,278.0
14076,372.0
14127,522.0
14178,347.0
14229,381.0
14280,354.0
14331,364.0
14382,379.0
14433,440.0
14484,346.0
14535,350.0
14586,388.0
14637,404.0
14688,308.0
14739,525.0
14790,600.0
14841,517.0
14892,472.0
14943,525.0
14994,495.0
15045,481.0
15096,587.0
15147,737.0
15198,646.0
15249,580.0
15300,0.0
15351,0.0
15402,1952.0
15453,0.0
15504,0.0
15555,742.0
15606,0.0
15657,0.0
15708,0.0
15759,0.0
15810,0.0
15861,0.0
15912,0.0
15963,0.0
16014,0.0
16065,0.0
16116,0.0
16167,0.0
16218,8827.0
16269,756.0
16320,473.0
16371,552.0
16422,583.0
16473,622.0
16524,621.0
16575,516.0
16626,632.0
16677,421.0
16728,273.0
16779,599.0
16830,379.0
16881,483.0
16932,326.0
16983,181.0
3,
54,0.0
105,0.0
156,0.0
207,1.0
258,0.0
309,0.0
360,0.0
411,0.0
462,0.0
513,0.0
564,0.0
615,0.0
666,0.0
717,0.0
768,0.0
819,0.0
870,0.0
921,0.0
972,0.0
