Date,Incremental Cases
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,2.0678246484698098e-05
2020-03-06,1.934416606633048e-05
2020-03-07,3.8774401837071774e-05
2020-03-08,4.661195076735168e-05
2020-03-09,0.00014699596056069045
2020-03-10,0.00022022533614072861
2020-03-11,0.00020601724993810097
2020-03-12,0.0002547605539123178
2020-03-13,0.00045544597723311123
2020-03-14,0.0006535230771303961
2020-03-15,0.0008801775022617684
2020-03-16,0.0016298434698577835
2020-03-17,0.0024655524933078193
2020-03-18,0.0038573530768661237
2020-03-19,0.006948028395314794
2020-03-20,0.008071315231679928
2020-03-21,0.012048103827154672
2020-03-22,0.01733987214930681
2020-03-23,0.02590892919840033
2020-03-24,0.032756822930844316
2020-03-25,0.038160022113138896
2020-03-26,0.05564225393710512
2020-03-27,0.07783820446887171
2020-03-28,0.09360836166608263
2020-03-29,0.11393387679432544
2020-03-30,0.14018545463555177
2020-03-31,0.1524398256350778
2020-04-01,0.17940193779427047
2020-04-02,0.20230859524013226
2020-04-03,0.2337663533635977
2020-04-04,0.27143485992905625
2020-04-05,0.2798534545738318
2020-04-06,0.298874488935487
2020-04-07,0.31396984862368554
2020-04-08,0.32494822067277784
2020-04-09,0.3448853908857831
2020-04-10,0.3556682192653604
2020-04-11,0.3695601786510527
2020-04-12,0.3839620033534662
2020-04-13,0.38819150189641877
2020-04-14,0.4018255489204712
2020-04-15,0.4031345705782075
2020-04-16,0.42144970994537034
2020-04-17,0.4302292158380595
2020-04-18,0.4327040885962327
2020-04-19,0.4418120961144245
2020-04-20,0.44867823052557004
2020-04-21,0.45747938686883355
2020-04-22,0.459374844126262
2020-04-23,0.4770702636119126
2020-04-24,0.47506531691073056
2020-04-25,0.47855572657240386
2020-04-26,0.4827411304825383
2020-04-27,0.47240919650599744
2020-04-28,0.47054987696301337
2020-04-29,0.4661326805998082
2020-04-30,0.46218656886549475
2020-05-01,0.45209512769799387
2020-05-02,0.449054664537991
2020-05-03,0.45137992191271115
2020-05-04,0.43802579957260246
2020-05-05,0.43379419298313765
2020-05-06,0.41876239227785667
2020-05-07,0.41024215522436386
2020-05-08,0.4025817845812701
2020-05-09,0.39347187622945945
2020-05-10,0.3830473052237541
2020-05-11,0.37294375699591886
2020-05-12,0.3571334897951896
2020-05-13,0.34181594454785724
2020-05-14,0.33231499858033625
2020-05-15,0.32329260826663386
2020-05-16,0.3146765425554698
2020-05-17,0.30724703856926083
2020-05-18,0.3050528541123524
2020-05-19,0.2954009743598599
2020-05-20,0.2907142282886696
2020-05-21,0.2829592987547439
2020-05-22,0.2764594432519565
2020-05-23,0.26365850315795103
2020-05-24,0.2576801216473471
2020-05-25,0.2507536952714223
2020-05-26,0.2416996934259542
2020-05-27,0.2348634022040978
2020-05-28,0.23198346393121141
2020-05-29,0.2275316771763442
2020-05-30,0.22085469552228726
2020-05-31,0.2071539790204358
2020-06-01,0.19875198533673524
2020-06-02,0.20046608388407575
2020-06-03,0.19294014960536782
2020-06-04,0.18525873383264765
2020-06-05,0.1814848039410459
2020-06-06,0.17532821609373278
2020-06-07,0.16721150736311977
2020-06-08,0.1593599791792295
2020-06-09,0.15246992262341488
2020-06-10,0.14782339328956348
2020-06-11,0.14288731001695312
2020-06-12,0.13748391036325394
2020-06-13,0.13342167297009117
2020-06-14,0.1278018297180919
2020-06-15,0.12180014012503057
2020-06-16,0.11736431636179452
2020-06-17,0.11257364913580613
2020-06-18,0.10965326482431492
2020-06-19,0.1064663709812243
2020-06-20,0.10290609229095508
2020-06-21,0.09959618724654276
2020-06-22,0.0955796424944912
2020-06-23,0.09253562916564892
2020-06-24,0.08844730900442425
2020-06-25,0.08624599378329514
2020-06-26,0.08435212487089067
2020-06-27,0.08203246751776455
2020-06-28,0.07958330915019994
2020-06-29,0.07549315355572882
2020-06-30,0.0743240336406363
2020-07-01,0.0725376195596027
2020-07-02,0.07217952665170442
2020-07-03,0.07128622385697081
2020-07-04,0.06942698029961455
2020-07-05,0.06862854815456085
2020-07-06,0.0665685591090226
2020-07-07,0.06470350732200543
2020-07-08,0.06244182529461385
2020-07-09,0.060605214564274826
2020-07-10,0.06039660684217935
2020-07-11,0.05982924924607515
2020-07-12,0.059164086763698095
2020-07-13,0.05747690829589955
2020-07-14,0.05764589187978693
2020-07-15,0.057411086613762624
2020-07-16,0.05576463106713444
2020-07-17,0.05310777314882469
2020-07-18,0.052400654616477034
2020-07-19,0.049092341084562056
2020-07-20,0.047693083347096515
2020-07-21,0.04766615158442197
2020-07-22,0.05030845115134926
2020-07-23,0.050123125105191076
2020-07-24,0.05162469354340042
2020-07-25,0.05359803837682868
2020-07-26,0.05536135765441955
2020-07-27,0.056431923496400756
2020-07-28,0.05777461164138069
2020-07-29,0.05719031080761089
2020-07-30,0.05732608893582127
