Date,Incremental Deaths
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,3.4189787510470627e-05
2020-03-10,3.198399476785962e-05
2020-03-11,2.9920511234449324e-05
2020-03-12,2.7990155670936467e-05
2020-03-13,2.6184339176037342e-05
2020-03-14,2.449502697113171e-05
2020-03-15,5.710449016088416e-05
2020-03-16,8.761011701581388e-05
2020-03-17,8.195785140189041e-05
2020-03-18,0.00014504982310658068
2020-03-19,0.00027245092004481283
2020-03-20,0.00032325301635318553
2020-03-21,0.0004733469205924299
2020-03-22,0.0007163267096702317
2020-03-23,0.0007726814457713061
2020-03-24,0.0013040574175930935
2020-03-25,0.0018353408561626555
2020-03-26,0.002332347943856762
2020-03-27,0.003139187933255955
2020-03-28,0.004030732879832567
2020-03-29,0.004488671134982607
2020-03-30,0.0054641015867421105
2020-03-31,0.007402294666928022
2020-04-01,0.010001808145004055
2020-04-02,0.015579071527070738
2020-04-03,0.01830065697686876
2020-04-04,0.023650218844473894
2020-04-05,0.024859581274700324
2020-04-06,0.026161869259883855
2020-04-07,0.032337657854396365
2020-04-08,0.039550979550509124
2020-04-09,0.04370050180252852
2020-04-10,0.04881314529189135
2020-04-11,0.054245546776897455
2020-04-12,0.05645552859586235
2020-04-13,0.05281323642838736
2020-04-14,0.0649622841696265
2020-04-15,0.07277178447808386
2020-04-16,0.08045353371957849
2020-04-17,0.08627209473539657
2020-04-18,0.08860399405448326
2020-04-19,0.08746903886769385
2020-04-20,0.08777489809660001
2020-04-21,0.09500155133665389
2020-04-22,0.08887241899235364
2020-04-23,0.08313871454123406
2020-04-24,0.10731490291536236
2020-04-25,0.10880204851936638
2020-04-26,0.10434679558140224
2020-04-27,0.10123886172967972
2020-04-28,0.10828066790490562
2020-04-29,0.11254325845359849
2020-04-30,0.12094132574929091
2020-05-01,0.12363492433763179
2020-05-02,0.12263319425830768
2020-05-03,0.11909766807524097
2020-05-04,0.11278153905467651
2020-05-05,0.11692469975706556
2020-05-06,0.11980905593117423
2020-05-07,0.12069526587212417
2020-05-08,0.11807113243961659
2020-05-09,0.11602657538836417
2020-05-10,0.11332756013090335
2020-05-11,0.1078965429516629
2020-05-12,0.10770505359153203
2020-05-13,0.10738915923362578
2020-05-14,0.10880313453239832
2020-05-15,0.10834801666780233
2020-05-16,0.1051528884577354
2020-05-17,0.10202713840150188
2020-05-18,0.09814573558892571
2020-05-19,0.09697641056178577
2020-05-20,0.09622442373408213
2020-05-21,0.0932986159974046
2020-05-22,0.0921343002756718
2020-05-23,0.08943818168428447
2020-05-24,0.08537746578985417
2020-05-25,0.08031370942814486
2020-05-26,0.07677328958812199
2020-05-27,0.07688026268237345
2020-05-28,0.07404001256077274
2020-05-29,0.07370790993321309
2020-05-30,0.07243991923133186
2020-05-31,0.06992033266827655
2020-06-01,0.06626408815163339
2020-06-02,0.06366428527825076
2020-06-03,0.06331778866064441
2020-06-04,0.06230985091331939
2020-06-05,0.06095666395763163
2020-06-06,0.0589727938484619
2020-06-07,0.057493003021853784
2020-06-08,0.05518555830837316
2020-06-09,0.05466809079626485
2020-06-10,0.05367116147228066
2020-06-11,0.05243084208160444
2020-06-12,0.05065512712158982
2020-06-13,0.05073765358009402
2020-06-14,0.048729278712814086
2020-06-15,0.04726075386774237
2020-06-16,0.045886972561062375
2020-06-17,0.04432830400634249
2020-06-18,0.042596676413133666
2020-06-19,0.041147715666716475
2020-06-20,0.03924519965861028
2020-06-21,0.037191908318685234
2020-06-22,0.035612985262892326
2020-06-23,0.035161621836013075
2020-06-24,0.03443167054262857
2020-06-25,0.03306501713086592
2020-06-26,0.032367761294636914
2020-06-27,0.09479564766272486
2020-06-28,0.08956873390169226
2020-06-29,0.08437133229571271
2020-06-30,0.08046656097267017
2020-07-01,0.07674533080512556
2020-07-02,0.07278552297808241
2020-07-03,0.07003850067404489
2020-07-04,0.06637463241509409
2020-07-05,0.06284457339096354
2020-07-06,0.059405500960283394
2020-07-07,0.05731656715813783
2020-07-08,0.0553965930662218
2020-07-09,0.055720255096207594
2020-07-10,0.053185283341534925
2020-07-11,0.05122413560180549
2020-07-12,0.048466389259921056
2020-07-13,0.045920751824378346
2020-07-14,0.04360772863711739
2020-07-15,0.04260638552761638
2020-07-16,0.0406097617865489
2020-07-17,0.03836586481777382
2020-07-18,0.03619835582035039
2020-07-19,0.03420487590059378
2020-07-20,0.03227162801354246
2020-07-21,0.03046310579662349
2020-07-22,0.028839642007429906
2020-07-23,0.02762862590513337
2020-07-24,0.026666688811505097
2020-07-25,0.025185585787852256
2020-07-26,0.023629088860431118
2020-07-27,0.022207200877128266
2020-07-28,0.020774478239894187
2020-07-29,0.02001541570886934
2020-07-30,0.01910018622897682
